iter	Logloss
0	0.6786188894
1	0.6642559901
2	0.6493267015
3	0.6351875811
4	0.6229781768
5	0.6128370762
6	0.6029812217
7	0.5912021307
8	0.5813992474
9	0.5729725277
10	0.5636876013
11	0.5561671126
12	0.547164064
13	0.5399702005
14	0.5309337128
15	0.5232624323
16	0.5166693888
17	0.5123249278
18	0.5063413831
19	0.5006117184
20	0.4944444767
21	0.4887216265
22	0.4816826039
23	0.4766282729
24	0.4717121862
25	0.465457402
26	0.4601780957
27	0.4559110911
28	0.4515549706
29	0.4462854438
30	0.4419482179
31	0.4378723234
32	0.4333423474
33	0.4296829768
34	0.4262693193
35	0.4219489213
36	0.4174674528
37	0.4132877742
38	0.409519775
39	0.4067336642
40	0.4039046754
41	0.4005726759
42	0.3977303792
43	0.3944758539
44	0.3916339347
45	0.3885981998
46	0.3858458013
47	0.3835299605
48	0.3803497751
49	0.3774052728
50	0.3746182487
51	0.3709291341
52	0.3680470361
53	0.3653049928
54	0.3626545024
55	0.3602946343
56	0.3570166184
57	0.3544471843
58	0.3522038352
59	0.3502062985
60	0.3481329691
61	0.3463127222
62	0.3445041288
63	0.3427861027
64	0.3403323713
65	0.3383065307
66	0.3361046592
67	0.3337982211
68	0.3320423022
69	0.330235421
70	0.328476126
71	0.3266766465
72	0.325245689
73	0.3237330277
74	0.3216704685
75	0.3202926415
76	0.3187661681
77	0.3174340226
78	0.3162524517
79	0.314889597
80	0.3134738946
81	0.3120152098
82	0.3104120917
83	0.3085318551
84	0.3074125362
85	0.3059355806
86	0.3048709869
87	0.3035192155
88	0.3022972087
89	0.3010328739
90	0.2998661034
91	0.2986706815
92	0.2974028351
93	0.2962187529
94	0.2948520222
95	0.2937007213
96	0.2927703837
97	0.2914891065
98	0.290261915
99	0.2884087543
100	0.2874439314
101	0.2863451557
102	0.2851161835
103	0.2842791447
104	0.2833175202
105	0.2823549145
106	0.2814474873
107	0.280286038
108	0.2794262813
109	0.2784049216
110	0.2769733447
111	0.2759791985
112	0.2750464333
113	0.2740207274
114	0.2728747495
115	0.2718534719
116	0.2709101403
117	0.2698832597
118	0.2692195307
119	0.2682430281
120	0.2675239733
121	0.2663350816
122	0.2654693595
123	0.2646803201
124	0.2638466349
125	0.2629814448
126	0.2619921362
127	0.2610216619
128	0.2602400641
129	0.2596544343
130	0.2586193909
131	0.2577444859
132	0.2570996119
133	0.2564011599
134	0.2555020986
135	0.2549190278
136	0.2541812402
137	0.2530210411
138	0.2522647094
139	0.2515280472
140	0.2508845238
141	0.2500900834
142	0.2492667151
143	0.2485591401
144	0.2478095017
145	0.2470533128
146	0.2464314053
147	0.2455934192
148	0.2449989732
149	0.2439181913
150	0.2433003389
151	0.2426096783
152	0.2419843918
153	0.2413344282
154	0.2406541617
155	0.2398958797
156	0.2390728069
157	0.2385321314
158	0.2377959662
159	0.2368848076
160	0.2363004691
161	0.2357626705
162	0.2350687405
163	0.2345021682
164	0.2340387876
165	0.2333691563
166	0.2327725206
167	0.2322408165
168	0.2317301615
169	0.2311299465
170	0.2303550992
171	0.2297598661
172	0.229190357
173	0.2288267897
174	0.2280615081
175	0.2276124792
176	0.2270181971
177	0.2263916462
178	0.2258147815
179	0.2251783377
180	0.2244257586
181	0.2237851216
182	0.2232653634
183	0.2225775905
184	0.2218891004
185	0.2214383155
186	0.220993717
187	0.2205152308
188	0.2198457244
189	0.2194689567
190	0.2188220405
191	0.2184538639
192	0.2179647449
193	0.2174325343
194	0.2169401481
